inf,-nan,-nan,-nan
0.681250,0.050000,0.050000,0.225000
0.683230,0.049689,0.049689,0.223602
0.685185,0.049383,0.049383,0.222222
0.680982,0.055215,0.049080,0.220859
0.676829,0.054878,0.048780,0.225610
0.672727,0.054545,0.048485,0.230303
0.668675,0.054217,0.048193,0.234940
0.664671,0.053892,0.053892,0.233533
0.666667,0.053571,0.053571,0.232143
0.668639,0.053254,0.053254,0.230769
0.670588,0.052941,0.052941,0.229412
0.672515,0.052632,0.052632,0.228070
0.674419,0.052326,0.052326,0.226744
0.676301,0.052023,0.052023,0.225434
0.678161,0.051724,0.051724,0.224138
0.680000,0.051429,0.051429,0.222857
0.681818,0.051136,0.051136,0.221591
0.683616,0.050847,0.050847,0.220339
0.685393,0.050562,0.050562,0.219101
0.687151,0.050279,0.050279,0.217877
0.688889,0.050000,0.050000,0.216667
0.690608,0.049724,0.049724,0.215470
0.692308,0.049451,0.049451,0.214286
0.693989,0.049180,0.049180,0.213115
0.695652,0.048913,0.048913,0.211957
0.691892,0.054054,0.048649,0.210811
0.688172,0.053763,0.048387,0.215054
0.684492,0.053476,0.048128,0.219251
0.680851,0.053191,0.047872,0.223404
0.677249,0.052910,0.047619,0.227513
0.673684,0.052632,0.047368,0.231579
0.670157,0.052356,0.047120,0.235602
0.666667,0.052083,0.046875,0.239583
0.663212,0.051813,0.046632,0.243523
0.659794,0.051546,0.046392,0.247423
0.656410,0.051282,0.046154,0.251282
0.653061,0.051020,0.045918,0.255102
0.649746,0.050761,0.045685,0.258883
0.646465,0.050505,0.045455,0.262626
0.643216,0.050251,0.045226,0.266332
0.640000,0.050000,0.045000,0.270000
0.636816,0.049751,0.049751,0.268657
0.638614,0.049505,0.049505,0.267327
0.640394,0.049261,0.049261,0.266010
0.642157,0.049020,0.049020,0.264706
0.643902,0.048780,0.048780,0.263415
0.645631,0.048544,0.048544,0.262136
0.647343,0.048309,0.048309,0.260870
0.649038,0.048077,0.048077,0.259615
0.650718,0.047847,0.047847,0.258373
0.652381,0.047619,0.047619,0.257143
0.654028,0.047393,0.047393,0.255924
0.655660,0.047170,0.047170,0.254717
0.657277,0.046948,0.046948,0.253521
0.658879,0.046729,0.046729,0.252336
0.660465,0.046512,0.046512,0.251163
0.662037,0.046296,0.046296,0.250000
0.663594,0.046083,0.046083,0.248848
0.665138,0.045872,0.045872,0.247706
0.666667,0.045662,0.045662,0.246575
0.668182,0.045455,0.045455,0.245455
0.669683,0.045249,0.045249,0.244344
0.671171,0.045045,0.045045,0.243243
0.672646,0.044843,0.044843,0.242152
0.674107,0.044643,0.044643,0.241071
0.675556,0.044444,0.044444,0.240000
0.672566,0.048673,0.044248,0.238938
0.669604,0.048458,0.044053,0.242291
0.666667,0.048246,0.043860,0.245614
0.663755,0.048035,0.043668,0.248908
0.660870,0.047826,0.043478,0.252174
0.658009,0.047619,0.043290,0.255411
0.655172,0.047414,0.047414,0.254310
